bioguideId,district,partyName,state,chamber,startYear,endYear,name
H001091,2.0,Republican,Iowa,House of Representatives,2021,0,"Hinson, Ashley"
G000596,14.0,Republican,Georgia,House of Representatives,2021,0,"Greene, Marjorie Taylor"
F000446,4.0,Republican,Iowa,House of Representatives,2021,0,"Feenstra, Randy"
C001116,9.0,Republican,Georgia,House of Representatives,2021,0,"Clyde, Andrew S."
D000629,3.0,Democratic,Kansas,House of Representatives,2019,0,"Davids, Sharice"
P000615,6.0,Republican,Indiana,House of Representatives,2019,0,"Pence, Greg"
B001307,4.0,Republican,Indiana,House of Representatives,2019,0,"Baird, James R."
U000040,14.0,Democratic,Illinois,House of Representatives,2019,0,"Underwood, Lauren"
C001117,6.0,Democratic,Illinois,House of Representatives,2019,0,"Casten, Sean"
G000586,4.0,Democratic,Illinois,House of Representatives,2019,0,"García, Jesús G. ""Chuy"""
F000469,1.0,Republican,Idaho,House of Representatives,2019,0,"Fulcher, Russ"
M001208,7.0,Democratic,Georgia,House of Representatives,2019,0,"McBath, Lucy"
E000298,4.0,Republican,Kansas,House of Representatives,2017,0,"Estes, Ron"
J000299,4.0,Republican,Louisiana,House of Representatives,2017,0,"Johnson, Mike"
H001077,3.0,Republican,Louisiana,House of Representatives,2017,0,"Higgins, Clay"
B001299,3.0,Republican,Indiana,House of Representatives,2017,0,"Banks, Jim"
K000391,8.0,Democratic,Illinois,House of Representatives,2017,0,"Krishnamoorthi, Raja"
C001108,1.0,Republican,Kentucky,House of Representatives,2016,0,"Comer, James"
L000585,16.0,Republican,Illinois,House of Representatives,2015,0,"LaHood, Darin"
G000577,6.0,Republican,Louisiana,House of Representatives,2015,0,"Graves, Garret"
B001295,12.0,Republican,Illinois,House of Representatives,2015,0,"Bost, Mike"
A000372,12.0,Republican,Georgia,House of Representatives,2015,0,"Allen, Rick W."
L000583,11.0,Republican,Georgia,House of Representatives,2015,0,"Loudermilk, Barry"
B001282,6.0,Republican,Kentucky,House of Representatives,2013,0,"Barr, Andy"
S001190,10.0,Democratic,Illinois,House of Representatives,2017,0,"Schneider, Bradley Scott"
M001184,4.0,Republican,Kentucky,House of Representatives,2012,0,"Massie, Thomas"
B001275,8.0,Republican,Indiana,House of Representatives,2011,0,"Bucshon, Larry"
S001189,8.0,Republican,Georgia,House of Representatives,2011,0,"Scott, Austin"
Q000023,5.0,Democratic,Illinois,House of Representatives,2009,0,"Quigley, Mike"
G000558,2.0,Republican,Kentucky,House of Representatives,2009,0,"Guthrie, Brett"
S001176,1.0,Republican,Louisiana,House of Representatives,2008,0,"Scalise, Steve"
F000454,11.0,Democratic,Illinois,House of Representatives,2013,0,"Foster, Bill"
C001072,7.0,Democratic,Indiana,House of Representatives,2008,0,"Carson, André"
K000385,2.0,Democratic,Illinois,House of Representatives,2013,0,"Kelly, Robin L."
S001148,2.0,Republican,Idaho,House of Representatives,1999,0,"Simpson, Michael K."
