bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2021-04-29,2021-05-28,Resolution agreed to in Senate without amendment and an amended preamble by Voice Vote. (text: CR S3930),195,{'name': 'Transportation and Public Works'},A resolution recognizing the 50th anniversary of the McClellan-Kerr Arkansas River Navigation System.,SRES,https://api.congress.gov/v3/bill/117/sres/195?format=json
I000024,117,2021-03-24,2021-03-24,Referred to the Committee on the Judiciary. (text: CR S1775),132,{'name': 'Immigration'},A resolution expressing the sense of the Senate that the current influx of migrants is causing a crisis at the Southern border.,SRES,https://api.congress.gov/v3/bill/117/sres/132?format=json
I000024,116,2019-07-25,2019-07-25,Read twice and referred to the Committee on the Judiciary.,2292,{'name': 'Immigration'},Asylum Abuse Reduction Act,S,https://api.congress.gov/v3/bill/116/s/2292?format=json
I000024,117,2021-03-18,2021-03-18,Read twice and referred to the Committee on the Judiciary.,863,{'name': 'Immigration'},Asylum Abuse Reduction Act,S,https://api.congress.gov/v3/bill/117/s/863?format=json
I000024,117,2021-01-25,2021-01-25,Read twice and referred to the Committee on Finance.,39,{'name': 'Foreign Trade and International Finance'},Protecting American Innovation and Development Act of 2021,S,https://api.congress.gov/v3/bill/117/s/39?format=json
I000024,117,2021-05-17,2021-05-17,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S2552; text: CR S2545)",217,{'name': 'Transportation and Public Works'},"A resolution designating the week of May 16 through May 22, 2021, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/117/sres/217?format=json
I000024,117,2021-05-28,2021-05-28,Amendment SA 2108 agreed to in Senate by Unanimous Consent. ,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2108?format=json
I000024,117,2021-05-24,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/1932?format=json
I000024,117,2021-05-19,2021-05-20,"Amendment SA 1523, under the order of 5/19/21, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 44 - 53. Record Vote Number: 198. ",,{},,,https://api.congress.gov/v3/amendment/117/samdt/1523?format=json
I000024,117,2021-05-20,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/1902?format=json
I000024,117,2021-04-15,2021-04-15,Read twice and referred to the Committee on Finance.,1149,{'name': 'Taxation'},A bill to amend the Internal Revenue Code of 1986 to permanently extend the depreciation rules for property used predominantly within an Indian reservation.,S,https://api.congress.gov/v3/bill/117/s/1149?format=json
I000024,117,2021-04-22,2021-04-22,"Referred to the Committee on Commerce, Science, and Transportation. (text: CR S2175)",171,{'name': 'Sports and Recreation'},A resolution expressing the sense of the Senate that the International Olympic Committee should correct the Olympic records for Jim Thorpe for his unprecedented accomplishments during the 1912 Olympic Games.,SRES,https://api.congress.gov/v3/bill/117/sres/171?format=json
I000024,116,2019-01-29,2020-05-12,Held at the desk.,249,{'name': 'International Affairs'},"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",S,https://api.congress.gov/v3/bill/116/s/249?format=json
I000024,116,2020-09-17,2020-09-17,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S5715-5716; text: CR S5712)",704,"{'name': 'Science, Technology, Communications'}",A resolution honoring the accomplishments of General Thomas P. Stafford and recognizing his contribution to the United States Space Program.,SRES,https://api.congress.gov/v3/bill/116/sres/704?format=json
I000024,117,2021-02-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/514?format=json
I000024,117,2021-02-04,2021-02-04,Amendment SA 786 agreed to in Senate by Yea-Nay Vote. 97 - 3. Record Vote Number: 30. ,,{},,,https://api.congress.gov/v3/amendment/117/samdt/786?format=json
I000024,117,2021-02-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/785?format=json
I000024,117,2021-02-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/475?format=json
I000024,116,2019-11-19,2020-09-08,Placed on Senate Legislative Calendar under General Orders. Calendar No. 526.,2898,{'name': 'Government Operations and Politics'},CONTRACT Act of 2019,S,https://api.congress.gov/v3/bill/116/s/2898?format=json
I000024,116,2019-10-17,2019-10-17,Read twice and referred to the Committee on Finance.,2620,{'name': 'Labor and Employment'},GROWTH Act,S,https://api.congress.gov/v3/bill/116/s/2620?format=json
I000024,116,2019-03-06,2019-03-06,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,678,{'name': 'Government Operations and Politics'},English Language Unity Act of 2019,S,https://api.congress.gov/v3/bill/116/s/678?format=json
I000024,116,2019-07-31,2019-07-31,Read twice and referred to the Committee on Finance.,2377,{'name': 'Health'},Medicaid Accountability Act,S,https://api.congress.gov/v3/bill/116/s/2377?format=json
I000024,116,2020-11-16,2020-11-16,Amendment SA 2682 agreed to in Senate by Unanimous Consent. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2682?format=json
I000024,116,2020-03-09,2020-03-09,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",3419,{'name': 'Agriculture and Food'},SALE Act of 2020,S,https://api.congress.gov/v3/bill/116/s/3419?format=json
I000024,116,2020-09-23,2020-09-23,Referred to the Committee on Foreign Relations. (text: CR S5835),713,{'name': 'International Affairs'},"A resolution expressing the sense of the Senate that the August 13, 2020, announcement of the establishment of full diplomatic relations between the State of Israel and the United Arab Emirates and the September 11, 2020, announcement of the establishment of full diplomatic relations between the State of Israel and the Kingdom of Bahrain is a historic achievement.",SRES,https://api.congress.gov/v3/bill/116/sres/713?format=json
I000024,116,2019-10-30,2019-10-30,Read twice and referred to the Committee on the Judiciary.,2745,{'name': 'Crime and Law Enforcement'},Down Syndrome Discrimination by Abortion Prohibition Act,S,https://api.congress.gov/v3/bill/116/s/2745?format=json
I000024,116,2019-12-12,2019-12-12,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",3043,{'name': 'Transportation and Public Works'},Promoting Aviation Regulations for Technical Training (PARTT) 147 Act of 2019,S,https://api.congress.gov/v3/bill/116/s/3043?format=json
I000024,116,2020-05-19,2020-05-19,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S2508; text: CR S2507)",586,{'name': 'Transportation and Public Works'},"A resolution designating the week of May 17 through May 23, 2020, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/116/sres/586?format=json
I000024,116,2020-08-06,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2598?format=json
I000024,116,2019-01-08,2019-01-08,Read twice and referred to the Committee on Finance.,53,{'name': 'Immigration'},WALL Act of 2019,S,https://api.congress.gov/v3/bill/116/s/53?format=json
I000024,116,2020-06-29,2020-07-23,Amendment SA 2301 agreed to in Senate by Yea-Nay Vote. 88 - 12. Record Vote Number: 138. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2301?format=json
I000024,116,2020-07-01,2020-07-21,"Amendment SA 2411, under the order of 7/2/20, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 90 - 10. Record Vote Number: 133. ",,{},,,https://api.congress.gov/v3/amendment/116/samdt/2411?format=json
I000024,116,2020-06-25,2020-07-02,Amendment SA 2204 agreed to in Senate by Voice Vote. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2204?format=json
I000024,116,2020-06-29,2020-07-02,Amendment SA 2248 agreed to in Senate by Voice Vote. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2248?format=json
I000024,116,2020-07-01,2020-07-02,Amendment SA 2418 agreed to in Senate by Voice Vote. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2418?format=json
I000024,116,2020-06-30,2020-07-02,Amendment SA 2326 agreed to in Senate by Voice Vote. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2326?format=json
I000024,116,2020-06-30,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2348?format=json
I000024,116,2020-06-30,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2379?format=json
I000024,116,2020-06-30,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2333?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2312?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2300?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2246?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2247?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2240?format=json
I000024,116,2020-06-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2239?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2166?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1879?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1840?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1839?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1838?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1841?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1842?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1843?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2203?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2061?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2148?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2128?format=json
I000024,116,2020-06-25,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/2082?format=json
I000024,116,2020-05-19,2020-05-22,Message on Senate action sent to the House.,583,{'name': 'Congress'},A resolution honoring the life and achievements of former United States Senator Thomas Allen Coburn and expressing condolences to the family of Thomas Allen Coburn on his passing.,SRES,https://api.congress.gov/v3/bill/116/sres/583?format=json
I000024,115,2018-03-22,2018-03-22,Read twice and referred to the Committee on Veterans' Affairs.,2622,{'name': 'Armed Forces and National Security'},"A bill to require directors of medical facilities of the Department of Veterans Affairs to submit plans to the Secretary of Veterans Affairs on how to improve such facilities, and for other purposes.",S,https://api.congress.gov/v3/bill/115/s/2622?format=json
I000024,116,2020-02-27,2020-02-27,Read twice and referred to the Committee on Finance.,3360,{'name': 'Transportation and Public Works'},National Center for the Advancement of Aviation Act of 2020,S,https://api.congress.gov/v3/bill/116/s/3360?format=json
I000024,116,2019-12-19,2019-12-19,Read twice and referred to the Committee on Foreign Relations.,3131,{'name': 'International Affairs'},Mirador-Calakmul Basin Maya Security and Conservation Partnership Act of 2019,S,https://api.congress.gov/v3/bill/116/s/3131?format=json
I000024,116,2020-05-11,2020-05-11,Amendment SA 1582 agreed to in Senate by Unanimous Consent. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1582?format=json
I000024,115,2018-03-07,2018-03-07,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",2506,{'name': 'Transportation and Public Works'},A bill to establish an aviation maintenance workforce development pilot program.,S,https://api.congress.gov/v3/bill/115/s/2506?format=json
I000024,116,2020-03-03,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1473?format=json
I000024,116,2020-03-03,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1474?format=json
I000024,115,2018-07-25,2018-07-25,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",3270,{'name': 'Transportation and Public Works'},SARA Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3270?format=json
I000024,116,2019-05-14,2019-05-14,Read twice and referred to the Committee on the Judiciary.,1464,{'name': 'Crime and Law Enforcement'},Law Enforcement Training for Mental Health Crisis Response Act of 2019,S,https://api.congress.gov/v3/bill/116/s/1464?format=json
I000024,116,2019-01-31,2019-01-31,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",313,{'name': 'Education'},CIVICS Act of 2019,S,https://api.congress.gov/v3/bill/116/s/313?format=json
I000024,116,2019-07-22,2019-07-22,Read twice and referred to the Committee on Finance.,2198,{'name': 'Transportation and Public Works'},PLANE Act of 2019,S,https://api.congress.gov/v3/bill/116/s/2198?format=json
I000024,115,2018-06-26,2018-06-26,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",3140,{'name': 'Agriculture and Food'},SALE Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3140?format=json
I000024,116,2019-05-13,2019-05-13,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S2793; text: CR S2792)",203,{'name': 'Transportation and Public Works'},A resolution recognizing the 80th anniversary of the Aircraft Owners and Pilots Association.,SRES,https://api.congress.gov/v3/bill/116/sres/203?format=json
I000024,116,2019-10-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1233?format=json
I000024,116,2019-10-29,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1232?format=json
I000024,116,2019-04-11,2019-04-11,Read twice and referred to the Committee on Finance.,1217,{'name': 'Taxation'},A bill to amend the Internal Revenue Code of 1986 to eliminate the taxable income limit on percentage depletion for oil and natural gas produced from marginal properties.,S,https://api.congress.gov/v3/bill/116/s/1217?format=json
I000024,116,2019-10-23,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/1065?format=json
I000024,116,2019-05-16,2019-05-23,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent. (text: 2019/05/16 CR S2928-2929),213,{'name': 'Transportation and Public Works'},"A resolution designating the week of May 19 through May 25, 2019, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/116/sres/213?format=json
I000024,116,2019-09-12,2019-09-12,"Notwithstanding the passage of S. 1790, as amended, amendment SA 938 agreed to in Senate by Unanimous Consent. ",,{},,,https://api.congress.gov/v3/amendment/116/samdt/938?format=json
I000024,115,2018-12-05,2018-12-05,Read twice and referred to the Committee on Finance.,3713,{'name': 'Immigration'},WALL Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3713?format=json
I000024,115,2018-11-27,2019-01-10,Became Public Law No: 115-433.,3661,{'name': 'Armed Forces and National Security'},An act to provide for a program of the Department of Defense to commemorate the 75th anniversary of World War II,S,https://api.congress.gov/v3/bill/115/s/3661?format=json
I000024,116,2019-04-11,2019-04-11,Read twice and referred to the Committee on Armed Services. (Sponsor introductory remarks on measure: CR S2437-2438),1215,{'name': 'Armed Forces and National Security'},National Defense Authorization Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/1215?format=json
I000024,116,2019-06-19,2019-06-27,Amendment SA 764 as modified and amended agreed to in Senate by Voice Vote. ,,{},,,https://api.congress.gov/v3/amendment/116/samdt/764?format=json
