bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,116,2020-02-27,blah,blha,3360,blah,National Center for the Advancement of Aviation Act of 2020,S,https://api.congress.gov/v3/bill/116/s/3360?format=json
I000024,116,2019-12-19,blah,blha,3131,blah,Mirador-Calakmul Basin Maya Security and Conservation Partnership Act of 2019,S,https://api.congress.gov/v3/bill/116/s/3131?format=json
I000024,116,2020-05-11,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1582?format=json
I000024,115,2018-03-07,blah,blha,2506,blah,A bill to establish an aviation maintenance workforce development pilot program.,S,https://api.congress.gov/v3/bill/115/s/2506?format=json
I000024,116,2020-03-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1473?format=json
I000024,116,2020-03-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1474?format=json
I000024,115,2018-07-25,blah,blha,3270,blah,SARA Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3270?format=json
I000024,116,2019-05-14,blah,blha,1464,blah,Law Enforcement Training for Mental Health Crisis Response Act of 2019,S,https://api.congress.gov/v3/bill/116/s/1464?format=json
I000024,116,2019-01-31,blah,blha,313,blah,CIVICS Act of 2019,S,https://api.congress.gov/v3/bill/116/s/313?format=json
I000024,116,2019-07-22,blah,blha,2198,blah,PLANE Act of 2019,S,https://api.congress.gov/v3/bill/116/s/2198?format=json
I000024,115,2018-06-26,blah,blha,3140,blah,SALE Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3140?format=json
I000024,116,2019-05-13,blah,blha,203,blah,A resolution recognizing the 80th anniversary of the Aircraft Owners and Pilots Association.,SRES,https://api.congress.gov/v3/bill/116/sres/203?format=json
I000024,116,2019-10-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1233?format=json
I000024,116,2019-10-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1232?format=json
I000024,116,2019-04-11,blah,blha,1217,blah,A bill to amend the Internal Revenue Code of 1986 to eliminate the taxable income limit on percentage depletion for oil and natural gas produced from marginal properties.,S,https://api.congress.gov/v3/bill/116/s/1217?format=json
I000024,116,2019-10-23,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1065?format=json
I000024,116,2019-05-16,blah,blha,213,blah,"A resolution designating the week of May 19 through May 25, 2019, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/116/sres/213?format=json
I000024,116,2019-09-12,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/938?format=json
I000024,115,2018-12-05,blah,blha,3713,blah,WALL Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3713?format=json
