639,T000162,109,2005-01-31,2006-10-12,Became Public Law No: 109-338.,203,Public Lands and Natural Resources,National Heritage Areas Act of 2006,S,https://api.congress.gov/v3/bill/109/s/203?format=json
649,T000162,110,2007-05-21,2007-05-21,Read twice and referred to the Committee on Energy and Natural Resources.,1443,Energy,"Clean, Affordable, and Domestic Fuels for Energy Security Act of 2007",S,https://api.congress.gov/v3/bill/110/s/1443?format=json
651,T000162,110,2007-05-03,2008-06-16,Placed on Senate Legislative Calendar under General Orders. Calendar No. 789.,1281,Public Lands and Natural Resources,Craig Thomas Snake Headwaters Legacy Act of 2008,S,https://api.congress.gov/v3/bill/110/s/1281?format=json
653,T000162,110,2007-02-16,2007-02-16,Read twice and referred to the Committee on Environment and Public Works.,658,Public Lands and Natural Resources,Endangered Species Reform Act of 2007,S,https://api.congress.gov/v3/bill/110/s/658?format=json
654,T000162,110,2007-02-15,2007-09-17,Placed on Senate Legislative Calendar under General Orders. Calendar No. 356.,645,Energy,A bill to amend the Energy Policy Act of 2005 to provide an alternate sulfur dioxide removal measurement for certain coal gasification project goals.,S,https://api.congress.gov/v3/bill/110/s/645?format=json
656,T000162,110,2007-01-26,2007-01-26,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry. (text of measure as introduced: CR S1239)",404,Agriculture and Food,Country of Origin Labeling Act of 2007,S,https://api.congress.gov/v3/bill/110/s/404?format=json
657,T000162,110,2007-01-12,2007-09-17,Placed on Senate Legislative Calendar under General Orders. Calendar No. 366.,278,Public Lands and Natural Resources,National Heritage Areas Partnership Act,S,https://api.congress.gov/v3/bill/110/s/278?format=json
658,T000162,110,2007-01-12,2007-07-13,Became Public Law No: 110-47.,277,Public Lands and Natural Resources,Grand Teton National Park Extension Act of 2007,S,https://api.congress.gov/v3/bill/110/s/277?format=json
676,T000162,108,2004-06-17,2004-09-20,"Referred to the Subcommittee on National Parks, Recreation and Public Lands.",2543,Public Lands and Natural Resources,National Heritage Partnership Act,S,https://api.congress.gov/v3/bill/108/s/2543?format=json
677,T000162,108,2004-04-08,2004-07-14,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-702.,2317,Public Lands and Natural Resources,A bill to limit the royalty on soda ash.,S,https://api.congress.gov/v3/bill/108/s/2317?format=json
680,T000162,108,2004-02-12,2004-03-11,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-533.,2086,Public Lands and Natural Resources,Abandoned Mine Land Reclamation Reform Act of 2004,S,https://api.congress.gov/v3/bill/108/s/2086?format=json
681,T000162,108,2003-09-03,2004-06-07,Referred to the Subcommittee on Energy and Air Quality.,1577,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/108/s/1577?format=json
683,T000162,108,2003-05-22,2004-06-01,"Referred to the Subcommittee on National Parks, Recreation and Public Lands.",1107,Public Lands and Natural Resources,Recreational Fee Authority Act of 2004,S,https://api.congress.gov/v3/bill/108/s/1107?format=json
684,T000162,108,2003-05-09,2003-05-09,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S6002),1038,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/108/s/1038?format=json
686,T000162,108,2003-02-27,2003-03-27,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-57.,475,Energy,Electric Transmission and Reliability Enhancement Act of 2003,S,https://api.congress.gov/v3/bill/108/s/475?format=json
687,T000162,108,2003-02-12,2003-02-12,Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S2358),372,Environmental Protection,State and Local Government Participation Act of 2003,S,https://api.congress.gov/v3/bill/108/s/372?format=json
688,T000162,108,2003-02-12,2003-02-12,Read twice and referred to the Committee on Environment and Public Works.,369,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 2003,S,https://api.congress.gov/v3/bill/108/s/369?format=json
690,T000162,108,2003-02-04,2003-06-17,Became Public Law No: 108-32.,273,Public Lands and Natural Resources,Grand Teton National Park Land Exchange Act,S,https://api.congress.gov/v3/bill/108/s/273?format=json
725,T000162,107,2002-05-08,2002-06-19,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 107-825.,2473,Public Lands and Natural Resources,Recreational Fee Authority Act of 2002,S,https://api.congress.gov/v3/bill/107/s/2473?format=json
728,T000162,107,2001-12-19,2002-09-23,Referred to the Subcommittee on Energy and Air Quality.,1852,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/107/s/1852?format=json
729,T000162,107,2001-12-12,2001-12-12,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S13053),1808,Energy,Mineral Leasing Act Revision of 2001,S,https://api.congress.gov/v3/bill/107/s/1808?format=json
731,T000162,107,2001-06-26,2002-11-22,Message on Senate action sent to the House.,1105,Public Lands and Natural Resources,Grand Teton National Park Land Exchange Act,S,https://api.congress.gov/v3/bill/107/s/1105?format=json
733,T000162,107,2001-04-05,2001-04-05,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",712,Public Lands and Natural Resources,Yellowstone and Teton Scenic Overflight Exclusion Act of 2001,S,https://api.congress.gov/v3/bill/107/s/712?format=json
734,T000162,107,2001-02-15,2002-07-15,Sponsor introductory remarks on measure. (CR S6729-6731),365,Public Lands and Natural Resources,National Park Service Winter Access Act,S,https://api.congress.gov/v3/bill/107/s/365?format=json
735,T000162,107,2001-02-15,2001-02-15,Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S1478-1479),347,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 2001,S,https://api.congress.gov/v3/bill/107/s/347?format=json
736,T000162,107,2001-02-14,2001-02-14,Read twice and referred to the Committee on Energy and Natural Resources.,322,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/107/s/322?format=json
737,T000162,107,2001-02-08,2001-02-08,Read twice and referred to the Committee on Environment and Public Works.,301,Environmental Protection,State and Local Government Participation Act of 2001,S,https://api.congress.gov/v3/bill/107/s/301?format=json
764,T000162,106,2000-09-14,2000-09-14,Read twice and referred to the Committee on Energy and Natural Resources.,3053,Public Lands and Natural Resources,Yellowstone and Teton Scenic Overflight Exclusion Act of 2000,S,https://api.congress.gov/v3/bill/106/s/3053?format=json
768,T000162,106,2000-03-28,2000-11-07,Became Public Law No: 106-463.,2300,Energy,Coal Market Competition Act of 2000,S,https://api.congress.gov/v3/bill/106/s/2300?format=json
770,T000162,106,1999-11-09,2000-11-09,Became Public Law No: 106-494.,1894,Public Lands and Natural Resources,"A bill to provide for the conveyance of certain land to Park County, Wyoming.",S,https://api.congress.gov/v3/bill/106/s/1894?format=json
772,T000162,106,1999-10-13,2000-02-24,Committee on Energy and Natural Resources Subcommittee on Forests and Public Land Management. Hearings held. With printed Hearing: S.Hrg. 106-507.,1722,Public Lands and Natural Resources,Trona Market Competition Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1722?format=json
774,T000162,106,1999-07-15,2000-09-22,Became Public Law No: 106-272.,1374,Public Lands and Natural Resources,Jackson Multi-Agency Campus Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1374?format=json
775,T000162,106,1999-07-12,2000-02-03,Executive Comment Requested from Interior.,1349,Public Lands and Natural Resources,National Park System New Area Study Act of 2000,S,https://api.congress.gov/v3/bill/106/s/1349?format=json
776,T000162,106,1999-06-30,1999-06-30,Read twice and referred to the Committee on Environment and Public Works.,1305,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1305?format=json
778,T000162,106,1999-04-19,1999-04-20,Referred to Subcommittee on Forests and Public Lands.,826,Public Lands and Natural Resources,No Net Loss of Private Lands Act,S,https://api.congress.gov/v3/bill/106/s/826?format=json
779,T000162,106,1999-03-09,1999-05-21,"Committee on Energy and Natural Resources requested executive comment from Department of Agricultural, Department of the Interior, OMB.",568,Public Lands and Natural Resources,A bill to allow the Department of the Interior and the Department of Agriculture to establish a fee system for commercial filming activities in a site or resource under their jurisdictions.,S,https://api.congress.gov/v3/bill/106/s/568?format=json
780,T000162,106,1999-03-03,2000-04-27,"Committee on Energy and Natural Resources. Hearings held and concluded. Hearings printed: S.Hrg. 106-254, pt.2.",516,Energy,Electric Utility Restructuring Empowerment and Competitiveness Act of 1999,S,https://api.congress.gov/v3/bill/106/s/516?format=json
784,T000162,106,1999-02-03,1999-02-03,Read twice and referred to the Committee on Environment and Public Works.,352,Environmental Protection,State and Local Government Participation Act of 1999,S,https://api.congress.gov/v3/bill/106/s/352?format=json
910,H001041,115,2018-03-13,2018-03-22,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 115-511.,2539,Water Resources Development,"A bill to amend the Energy and Water Development and Related Agencies Appropriations Act, 2015, to reauthorize certain projects to increase Colorado River System water.",S,https://api.congress.gov/v3/bill/115/s/2539?format=json
911,H001041,115,2017-06-15,2017-06-15,Read twice and referred to the Committee on Energy and Natural Resources.,1363,Public Lands and Natural Resources,Rural Broadband Deployment Streamlining Act,S,https://api.congress.gov/v3/bill/115/s/1363?format=json
912,H001041,115,2017-01-17,2017-08-04,Held at the desk.,174,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2017,S,https://api.congress.gov/v3/bill/115/s/174?format=json
913,H001041,114,2015-01-26,2016-09-28,Message on House action received in Senate and at desk: House amendments to Senate bill.,253,"Science, Technology, Communications",Communications Act Update Act of 2016,S,https://api.congress.gov/v3/bill/114/s/253?format=json
914,H001041,114,2015-03-17,2015-03-17,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",760,"Science, Technology, Communications",Federal Communications Commission Collaboration Act of 2015,S,https://api.congress.gov/v3/bill/114/s/760?format=json
915,H001041,113,2013-07-29,2013-07-29,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",1379,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2013,S,https://api.congress.gov/v3/bill/113/s/1379?format=json
918,H001041,112,2011-11-02,2011-11-02,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",1780,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2011,S,https://api.congress.gov/v3/bill/112/s/1780?format=json
