bioguideid,congress,introduceddate,actiondate,text,number,policyArea name,title,type,url
l000506,95,1977-12-01,1977-12-01,Referred to House Committee on Interior and Insular Affairs.,10186,,"A bill to increase the amount of privately owned land eligible to receive irrigation water under the Federal reclamation laws, and remove Federal subsidies from water delivered to excess lands.",HR,https://api.congress.gov/v3/bill/95/hr/10186?format=json
l000506,95,1977-12-01,1977-12-01,Referred to House Committee on Interior and Insular Affairs.,10187,,"A bill to amend the act entitled ""An Act to promote the development of Indian arts and crafts and to create a board to assist therein.""",HR,https://api.congress.gov/v3/bill/95/hr/10187?format=json
l000506,95,1977-10-19,1977-10-19,Referred to House Committee on House Administration.,9656,,A bill relating to a national referendum on the Panama Canal.,HR,https://api.congress.gov/v3/bill/95/hr/9656?format=json
l000506,95,1977-08-05,1977-08-05,Referred to House Committee on Ways and Means.,8872,,"A bill to amend the Internal Revenue Code of 1954 to disregard, in the valuation for estate tax purposes of certain items created by the decedent during his life, any amount which would not have been capital gain if such item has been sold by the decedent as its fair market value.",HR,https://api.congress.gov/v3/bill/95/hr/8872?format=json
l000506,95,1977-08-05,1977-08-05,Referred to House Committee on Interior and Insular Affairs.,8873,,A bill to provide for the return to the United States of title to certain lands conveyed to certain Indian pueblos of New Mexico and for such land to be held in trust by the United States for such tribes.,HR,https://api.congress.gov/v3/bill/95/hr/8873?format=json
l000506,95,1977-07-25,1977-07-25,Referred to House Committee on International Relations.,8512,,A bill to limit U.S. contributions to the United Nations.,HR,https://api.congress.gov/v3/bill/95/hr/8512?format=json
l000506,95,1977-07-14,1977-07-14,Referred to House Committee on Post Office and Civil Service.,8319,,"A bill to amend title 5, United States Code, to include Energy Research and Development Administration couriers and security inspectors within the same civil service retirement provisions as law enforcement officers and firefighters.",HR,https://api.congress.gov/v3/bill/95/hr/8319?format=json
l000506,95,1977-07-14,1977-07-14,Referred to House Committee on Interior and Insular Affairs.,8318,,A bill to declare that title to certain lands in the State of New Mexico are held in trust by the United States for the Ramah Band of the Navajo Tribe.,HR,https://api.congress.gov/v3/bill/95/hr/8318?format=json
l000506,95,1977-06-16,1977-06-16,Referred to House Committee on Interior and Insular Affairs.,7838,,"A bill to amend the Atomic Energy Community Act of 1955, as amended, to clarify and reaffirm the intent of the Congress that assistance payments provided under the Atomic Energy Community Act of 1955, as amended, are in addition and supplemental to any State and local funds which would, in the absence of assistance payments under the Atomic Energy Community Act of 1955, as amended, be paid to the State, county, or local entities authorized to receive such assistance payments.",HR,https://api.congress.gov/v3/bill/95/hr/7838?format=json
s000094,107,2001-08-02,2001-08-16,Referred to the Subcommittee on Energy and Air Quality.,2814,,Interstate Transmission Act,HR,https://api.congress.gov/v3/bill/107/hr/2814?format=json
