bioguideId,congress,type,number,introducedDate,actionDate,PolicyArea_name,Latest_Action_text,url,congress_type_number,title
c000705,108,S,2302,2004-04-07,2004-12-03,Immigration,Became Public Law No: 108-441.,https://api.congress.gov/v3/bill/108/s/2302?format=json,108_S_2302,A bill to improve access to physicians in medically underserved areas.
h001053,117,HR,6730,2022-02-15,2022-11-01,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/6730?format=json,117_HR_6730,Protecting Higher Education from the Chinese Communist Party Act of 2022
h001053,117,HR,3343,2021-05-19,2021-11-09,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/3343?format=json,117_HR_3343,Protecting America From Spies Act
h001053,117,HR,2579,2021-04-15,2021-10-19,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/2579?format=json,117_HR_2579,EXIT Act of 2021
h001053,116,HR,7326,2020-06-25,2020-06-25,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/116/hr/7326?format=json,116_HR_7326,Protecting America From Spies Act
h001053,116,HR,3968,2019-07-25,2019-08-21,Immigration,"Referred to the Subcommittee on Border Security, Facilitation, and Operations.",https://api.congress.gov/v3/bill/116/hr/3968?format=json,116_HR_3968,EXIT Act of 2019
e000064,93,HR,9405,1973-07-19,1973-07-19,Immigration,Referred to House Committee on the Judiciary.,https://api.congress.gov/v3/bill/93/hr/9405?format=json,93_HR_9405,A bill to amend the Immigration and Nationality Act to reduce to 1 year the period of residence and physical presence required for the naturalization of children adopted by U.S. citizens.
e000064,93,HR,3394,1973-01-31,1973-01-31,Immigration,Referred to House Committee on Judiciary.,https://api.congress.gov/v3/bill/93/hr/3394?format=json,93_HR_3394,A bill to amend the Immigration and Nationality Act to provide for the expeditious naturalization of certain former alien employees of the United States who have been admitted to the United States for permanent residence.
e000064,95,HR,1956,1977-01-17,1977-01-17,Immigration,Referred to House Committee on the Judiciary.,https://api.congress.gov/v3/bill/95/hr/1956?format=json,95_HR_1956,A bill to amend the Immigration and Nationality Act to eliminate the legal custody requirement and the requirement of residence and physical presence in the United States for the naturalization of children adopted by U.S. citizens.
e000064,99,HR,3755,1985-11-13,1986-01-22,Immigration,Executive Comment Requested from Justice.,https://api.congress.gov/v3/bill/99/hr/3755?format=json,99_HR_3755,Humane Treatment of Immigrant Children Act of 1985
c001114,118,HR,7243,2024-02-06,2024-02-06,Immigration,Referred to the Subcommittee on Border Security and Enforcement.,https://api.congress.gov/v3/bill/118/hr/7243?format=json,118_HR_7243,Border Security State Reimbursement Act
c001114,117,HR,461,2021-01-25,2021-03-05,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/461?format=json,117_HR_461,Hong Kong Safe Harbor Act
c001114,116,HR,7415,2020-06-30,2020-06-30,Immigration,"Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",https://api.congress.gov/v3/bill/116/hr/7415?format=json,116_HR_7415,Hong Kong Safe Harbor Act
c001114,116,HR,5174,2019-11-19,2019-12-19,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/116/hr/5174?format=json,116_HR_5174,State Sponsored Visa Pilot Program Act of 2019
m000100,103,HJRES,168,1993-03-30,1993-03-30,"Arts, Culture, Religion",Referred to the House Committee on Post Office and Civil Service.,https://api.congress.gov/v3/bill/103/hjres/168?format=json,103_HJRES_168,"Designating October 6, 1993, and October 6, 1994, as ""German-American Day""."
b001296,117,HRES,741,2021-10-22,2021-10-22,"Arts, Culture, Religion",Referred to the House Committee on Oversight and Reform.,https://api.congress.gov/v3/bill/117/hres/741?format=json,117_HRES_741,"Expressing support for the designation of the month of September 2022 as ""Macedonian American Heritage Month"" and celebrating the Macedonian language, history, and culture of Macedonian Americans and their incredible contributions to the United States."
